Car_Number,Arrive,Depart,Wait,Direction
270,12597,12600,3,E
272,12654,12654,0,W
271,12650,12660,10,N
273,12771,12810,39,E
274,12793,12810,17,W
275,12817,12870,53,S
276,12910,12910,0,N
277,12932,12932,0,W
278,12945,12946,1,E
279,13071,13072,1,W
280,13102,13102,0,S
281,13119,13126,7,E
282,13170,13186,16,N
283,13210,13230,20,W
284,13293,13336,43,E
285,13349,13350,1,W
286,13387,13396,9,S
287,13430,13430,0,N
288,13467,13468,1,E
289,13488,13488,0,W
291,13641,13650,9,E
290,13627,13650,23,W
293,13690,13710,20,N
292,13672,13710,38,S
294,13766,13766,0,W
295,13815,13860,45,E
296,13905,13906,1,W
297,13950,13950,0,N
298,13957,13958,1,S
299,13989,13990,1,E
300,14044,14070,26,W
301,14163,14176,13,E
302,14183,14184,1,W
303,14210,14236,26,N
304,14242,14242,0,S
305,14322,14322,0,W
306,14337,14338,1,E
308,14470,14470,0,N
307,14461,14490,29,W
309,14511,14512,1,E
311,14541,14542,1,W
310,14527,14550,23,S
312,14611,14612,1,E
314,14621,14622,1,W
313,14620,14656,36,N
315,14691,14692,1,S
316,14701,14702,1,W
317,14711,14712,1,E
318,14770,14770,0,N
319,14781,14806,25,W
320,14811,14812,1,E
322,14861,14862,1,W
321,14855,14866,11,S
323,14911,14912,1,E
325,14941,14942,1,W
324,14920,14970,50,N
326,15011,15016,5,E
328,15021,15022,1,W
329,15070,15076,6,N
327,15019,15076,57,S
331,15111,15120,9,E
330,15101,15120,19,W
333,15183,15184,1,S
335,15220,15220,0,N
334,15211,15226,15,E
332,15181,15226,45,W
336,15261,15262,1,W
337,15311,15330,19,E
338,15341,15342,1,W
340,15370,15390,20,N
339,15347,15390,43,S
341,15411,15436,25,E
342,15421,15436,15,W
344,15511,15512,1,S
346,15520,15520,0,N
345,15511,15540,29,E
343,15501,15540,39,W
347,15581,15582,1,W
348,15611,15646,35,E
349,15661,15662,1,W
350,15670,15706,36,N
351,15675,15706,31,S
352,15711,15750,39,E
353,15741,15750,9,W
355,15820,15820,0,N
357,15839,15840,1,S
354,15811,15856,45,E
356,15821,15856,35,W
358,15901,15902,1,W
359,15911,15912,1,E
361,15981,15982,1,W
363,16011,16012,1,E
360,15970,16020,50,N
362,16003,16020,17,S
364,16061,16066,5,W
365,16111,16112,1,E
366,16120,16126,6,N
368,16167,16168,1,S
367,16141,16170,29,W
369,16211,16212,1,E
370,16221,16222,1,W
371,16270,16270,0,N
372,16301,16302,1,W
373,16311,16312,1,E
374,16331,16336,5,S
375,16381,16382,1,W
376,16411,16412,1,E
377,16420,16440,20,N
378,16461,16486,25,W
380,16511,16512,1,E
381,16541,16542,1,W
379,16495,16546,51,S
382,16570,16570,0,N
383,16611,16612,1,E
384,16621,16622,1,W
385,16659,16660,1,S
386,16701,16702,1,W
387,16711,16712,1,E
388,16720,16756,36,N
389,16781,16800,19,W
390,16811,16812,1,E
391,16823,16860,37,S
393,16870,16870,0,N
392,16861,16906,45,W
394,16911,16912,1,E
395,16941,16942,1,W
396,16987,16988,1,S
397,17011,17012,1,E
399,17021,17022,1,W
398,17020,17070,50,N
401,17111,17116,5,E
400,17101,17116,15,W
403,17170,17176,6,N
402,17151,17176,25,S
405,17211,17220,9,E
404,17181,17220,39,W
406,17261,17262,1,W
408,17315,17316,1,S
409,17320,17320,0,N
407,17311,17326,15,E
410,17341,17342,1,W
411,17411,17430,19,E
412,17421,17430,9,W
413,17470,17490,20,N
414,17479,17490,11,S
416,17511,17536,25,E
415,17501,17536,35,W
417,17581,17582,1,W
419,17620,17620,0,N
418,17611,17640,29,E
421,17661,17662,1,W
420,17643,17700,57,S
422,17711,17746,35,E
423,17741,17746,5,W
424,17770,17806,36,N
425,17807,17808,1,S
426,17811,17850,39,E
427,17821,17850,29,W
428,17901,17902,1,W
430,17920,17920,0,N
429,17911,17956,45,E
432,17981,17982,1,W
433,18011,18012,1,E
431,17971,18016,45,S
434,18054,18060,6,E
435,18061,18062,1,W
437,18095,18096,1,W
438,18097,18098,1,E
436,18070,18120,50,N
440,18134,18134,0,N
441,18135,18136,1,S
442,18140,18166,26,E
439,18129,18166,37,W
443,18163,18168,5,W
444,18183,18184,1,E
445,18197,18198,1,W
446,18198,18226,28,N
447,18206,18226,20,S
450,18262,18262,0,N
448,18226,18270,44,E
449,18231,18270,39,W
452,18269,18272,3,E
451,18265,18272,7,W
454,18299,18300,1,W
455,18312,18312,0,E
456,18326,18330,4,N
453,18277,18330,53,S
458,18348,18348,0,S
459,18355,18376,21,E
457,18333,18376,43,W
460,18367,18378,11,W
462,18398,18398,0,E
463,18401,18402,1,W
461,18390,18436,46,N
464,18419,18436,17,S
467,18454,18454,0,N
466,18441,18480,39,E
465,18435,18480,45,W
468,18469,18482,13,W
469,18484,18484,0,E
471,18503,18504,1,W
473,18527,18528,1,E
474,18537,18538,1,W
472,18518,18540,22,N
470,18490,18540,50,S
475,18561,18562,1,S
478,18582,18582,0,N
476,18570,18586,16,E
477,18571,18586,15,W
479,18605,18606,1,W
480,18613,18614,1,E
482,18639,18640,1,W
483,18646,18646,0,N
481,18632,18646,14,S
484,18656,18690,34,E
485,18673,18690,17,W
486,18699,18700,1,E
488,18707,18708,1,W
491,18742,18742,0,E
490,18741,18742,1,W
489,18710,18750,40,N
487,18703,18750,47,S
493,18774,18774,0,N
492,18774,18774,0,S
495,18785,18796,11,E
494,18775,18796,21,W
496,18809,18810,1,W
497,18828,18828,0,E
499,18843,18844,1,W
498,18838,18856,18,N
500,18845,18856,11,S
501,18871,18900,29,E
502,18877,18900,23,W
504,18911,18912,1,W
505,18914,18914,0,E
507,18945,18946,1,W
508,18957,18958,1,E
503,18902,18960,58,N
506,18916,18960,44,S
509,18966,18966,0,N
511,18987,18988,1,S
512,19000,19006,6,E
510,18979,19006,27,W
513,19013,19014,1,W
515,19043,19044,1,E
516,19047,19048,1,W
514,19030,19066,36,N
517,19058,19066,8,S
520,19094,19094,0,N
519,19086,19110,24,E
518,19081,19110,29,W
521,19115,19116,1,W
523,19129,19130,1,E
524,19149,19150,1,W
525,19158,19170,12,N
522,19129,19170,41,S
528,19200,19200,0,S
526,19172,19216,44,E
527,19183,19216,33,W
529,19215,19218,3,E
530,19217,19218,1,W
532,19251,19252,1,W
533,19258,19258,0,E
531,19222,19276,54,N
534,19271,19276,5,S
536,19286,19286,0,N
537,19301,19320,19,E
535,19285,19320,35,W
538,19319,19322,3,W
540,19344,19344,0,E
542,19353,19354,1,W
541,19350,19380,30,N
539,19342,19380,38,S
546,19414,19414,0,N
545,19413,19414,1,S
543,19387,19426,39,E
544,19387,19426,39,W
547,19421,19428,7,W
548,19430,19430,0,E
549,19455,19456,1,W
550,19473,19474,1,E
551,19478,19486,8,N
552,19484,19486,2,S
554,19516,19530,14,E
553,19489,19530,41,W
555,19523,19532,9,W
558,19557,19558,1,W
559,19559,19560,1,E
556,19542,19590,48,N
557,19555,19590,35,S
562,19606,19606,0,N
564,19626,19626,0,S
561,19602,19636,34,E
560,19591,19636,45,W
563,19625,19638,13,W
565,19645,19646,1,E
566,19659,19660,1,W
568,19688,19688,0,E
569,19693,19694,1,W
567,19670,19696,26,N
570,19697,19698,1,S
573,19734,19734,0,N
572,19731,19740,9,E
571,19727,19740,13,W
574,19761,19762,1,W
576,19774,19774,0,E
577,19795,19796,1,W
578,19798,19800,2,N
575,19768,19800,32,S
581,19839,19840,1,S
579,19817,19846,29,E
580,19829,19846,17,W
582,19860,19860,0,E
584,19863,19864,1,W
585,19897,19898,1,W
586,19903,19904,1,E
583,19862,19906,44,N
587,19910,19910,0,S
588,19926,19926,0,N
590,19946,19950,4,E
589,19931,19950,19,W
591,19965,19966,1,W
593,19989,19990,1,E
595,19999,20000,1,W
594,19990,20010,20,N
592,19981,20010,29,S
598,20052,20052,0,S
599,20054,20054,0,N
596,20032,20056,24,E
597,20033,20056,23,W
600,20067,20068,1,W
601,20075,20076,1,E
602,20101,20102,1,W
603,20118,20118,0,N
605,20123,20124,1,S
604,20118,20160,42,E
606,20135,20160,25,W
607,20161,20162,1,E
608,20169,20170,1,W
612,20204,20204,0,E
611,20203,20204,1,W
609,20182,20220,38,N
610,20194,20220,26,S
614,20246,20246,0,N
615,20247,20266,19,E
613,20237,20266,29,W
617,20271,20272,1,W
618,20290,20290,0,E
619,20305,20306,1,W
620,20310,20326,16,N
616,20265,20326,61,S
622,20336,20336,0,S
621,20333,20370,37,E
623,20339,20370,31,W
624,20373,20374,1,W
626,20376,20376,0,E
628,20407,20408,1,W
629,20419,20420,1,E
625,20374,20430,56,N
627,20407,20430,23,S
630,20438,20438,0,N
632,20462,20476,14,E
631,20441,20476,35,W
633,20475,20478,3,W
636,20505,20506,1,E
637,20509,20510,1,W
635,20502,20536,34,N
634,20478,20536,58,S
640,20549,20550,1,S
641,20566,20566,0,N
639,20548,20580,32,E
638,20543,20580,37,W
642,20577,20582,5,W
643,20591,20592,1,E
644,20611,20612,1,W
647,20634,20634,0,E
646,20630,20640,10,N
645,20620,20640,20,S
649,20677,20686,9,E
648,20645,20686,41,W
650,20679,20688,9,W
653,20713,20714,1,W
654,20720,20720,0,E
652,20694,20746,52,N
651,20691,20746,55,S
656,20758,20758,0,N
657,20762,20762,0,S
658,20763,20790,27,E
655,20747,20790,43,W
659,20781,20792,11,W
660,20806,20806,0,E
661,20815,20816,1,W
662,20822,20850,28,N
663,20833,20850,17,S
667,20886,20886,0,N
664,20849,20896,47,E
665,20849,20896,47,W
668,20892,20898,6,E
666,20883,20898,15,W
670,20917,20918,1,W
671,20935,20936,1,E
673,20951,20952,1,W
672,20950,20956,6,N
669,20904,20956,52,S
674,20975,20976,1,S
675,20978,21000,22,E
676,20985,21000,15,W
678,21019,21020,1,W
679,21021,21022,1,E
681,21053,21054,1,W
677,21014,21060,46,N
680,21046,21060,14,S
683,21078,21078,0,N
682,21064,21106,42,E
684,21087,21106,19,W
685,21107,21108,1,E
687,21121,21122,1,W
689,21150,21150,0,E
690,21155,21156,1,W
688,21142,21166,24,N
686,21117,21166,49,S
691,21188,21188,0,S
694,21206,21206,0,N
693,21193,21210,17,E
692,21189,21210,21,W
695,21223,21224,1,W
696,21236,21236,0,E
697,21257,21258,1,W
699,21270,21270,0,N
698,21259,21270,11,S
700,21279,21316,37,E
701,21291,21316,25,W
702,21322,21322,0,E
703,21325,21326,1,W
706,21359,21360,1,W
707,21365,21366,1,E
705,21334,21376,42,N
704,21330,21376,46,S
709,21398,21398,0,N
710,21401,21402,1,S
711,21408,21420,12,E
708,21393,21420,27,W
712,21427,21428,1,W
713,21451,21452,1,E
714,21461,21462,1,W
715,21462,21480,18,N
716,21472,21480,8,S
717,21494,21526,32,E
718,21495,21526,31,W
720,21529,21530,1,W
721,21537,21538,1,E
723,21563,21564,1,W
724,21580,21580,0,E
