Car_Number,Arrive,Depart,Wait,Direction
2756,31283,31294,11,E
2753,31273,31294,21,W
2757,31286,31296,10,W
2758,31299,31300,1,E
2759,31299,31300,1,W
2762,31312,31312,0,W
2763,31315,31316,1,E
2764,31325,31326,1,W
2766,31331,31332,1,E
2768,31338,31338,0,W
2769,31347,31348,1,E
2760,31306,31350,44,N
2761,31307,31350,43,S
2765,31330,31352,22,N
2767,31333,31352,19,S
2771,31354,31354,0,N
2772,31359,31360,1,S
2776,31378,31378,0,N
2778,31385,31386,1,S
2773,31363,31396,33,E
2770,31351,31396,45,W
2777,31379,31398,19,E
2774,31364,31398,34,W
2780,31395,31400,5,E
2775,31377,31400,23,W
2779,31390,31402,12,W
2782,31403,31404,1,W
2784,31411,31412,1,E
2785,31416,31416,0,W
2787,31427,31428,1,E
2788,31429,31430,1,W
2790,31442,31442,0,W
2791,31443,31444,1,E
2781,31402,31456,54,N
2783,31411,31456,45,S
2786,31426,31458,32,N
2789,31437,31458,21,S
2792,31450,31460,10,N
2795,31463,31464,1,S
2797,31474,31474,0,N
2800,31489,31490,1,S
2803,31498,31498,0,N
2794,31459,31500,41,E
2793,31455,31500,45,W
2798,31475,31502,27,E
2796,31468,31502,34,W
2801,31491,31504,13,E
2799,31481,31504,23,W
2802,31494,31506,12,W
2804,31507,31508,1,E
2805,31507,31508,1,W
2807,31520,31520,0,W
2809,31523,31524,1,E
2810,31533,31534,1,W
2811,31539,31540,1,E
2814,31546,31546,0,W
2815,31555,31556,1,E
2808,31522,31560,38,N
2806,31515,31560,45,S
2813,31546,31562,16,N
2812,31541,31562,21,S
2817,31567,31568,1,S
2818,31570,31570,0,N
2824,31594,31594,0,N
2823,31593,31594,1,S
2819,31571,31606,35,E
2816,31559,31606,47,W
2822,31587,31608,21,E
2820,31572,31608,36,W
2826,31603,31610,7,E
2821,31585,31610,25,W
2825,31598,31612,14,W
2827,31611,31614,3,W
2830,31619,31620,1,E
2831,31624,31624,0,W
2832,31635,31636,1,E
2833,31637,31638,1,W
2836,31650,31650,0,W
2837,31651,31652,1,E
2838,31663,31664,1,W
2828,31618,31666,48,N
2829,31619,31666,47,S
2834,31642,31668,26,N
2835,31645,31668,23,S
2839,31666,31670,4,N
2841,31671,31672,1,S
2845,31690,31690,0,N
2846,31697,31698,1,S
2840,31667,31710,43,E
2842,31676,31710,34,W
2843,31683,31712,29,E
2844,31689,31712,23,W
2847,31699,31714,15,E
2848,31702,31714,12,W
2850,31715,31716,1,E
2851,31715,31716,1,W
2853,31728,31728,0,W
2854,31731,31732,1,E
2856,31741,31742,1,W
2857,31747,31748,1,E
2859,31754,31754,0,W
2861,31763,31764,1,E
2862,31767,31768,1,W
2849,31714,31770,56,N
2852,31723,31770,47,S
2855,31738,31772,34,N
2858,31749,31772,23,S
2860,31762,31774,12,N
2863,31775,31776,1,S
2866,31786,31786,0,N
2869,31801,31802,1,S
2871,31810,31810,0,N
2864,31779,31816,37,E
2865,31780,31816,36,W
2868,31795,31818,23,E
2867,31793,31818,25,W
2872,31811,31820,9,E
2870,31806,31820,14,W
2873,31819,31822,3,W
2875,31827,31828,1,E
2876,31832,31832,0,W
2878,31843,31844,1,E
2879,31845,31846,1,W
2882,31858,31858,0,W
2883,31859,31860,1,E
2884,31871,31872,1,W
2877,31834,31876,42,N
2874,31827,31876,49,S
2881,31858,31878,20,N
2880,31853,31878,25,S
2886,31879,31880,1,S
2887,31882,31882,0,N
2892,31906,31906,0,N
2891,31905,31906,1,S
2885,31875,31920,45,E
2888,31884,31920,36,W
2889,31891,31922,31,E
2890,31897,31922,25,W
2893,31907,31924,17,E
2894,31910,31924,14,W
2895,31923,31926,3,E
2896,31923,31926,3,W
2899,31936,31936,0,W
2900,31939,31940,1,E
2901,31949,31950,1,W
2903,31955,31956,1,E
2905,31962,31962,0,W
2906,31971,31972,1,E
2907,31975,31976,1,W
2897,31930,31980,50,N
2898,31931,31980,49,S
2902,31954,31982,28,N
2904,31957,31982,25,S
2908,31978,31984,6,N
2909,31983,31984,1,S
2913,32002,32002,0,N
2915,32009,32010,1,S
2910,31987,32026,39,E
2911,31988,32026,38,W
2914,32003,32028,25,E
2912,32001,32028,27,W
2917,32019,32030,11,E
2916,32014,32030,16,W
2919,32027,32032,5,W
2921,32035,32036,1,E
2922,32040,32040,0,W
2924,32051,32052,1,E
2925,32053,32054,1,W
2927,32066,32066,0,W
2928,32067,32068,1,E
2930,32079,32080,1,W
2931,32083,32084,1,E
2918,32026,32086,60,N
2920,32035,32086,51,S
2923,32050,32088,38,N
2926,32061,32088,27,S
2929,32074,32090,16,N
2932,32087,32090,3,S
2934,32098,32098,0,N
2937,32113,32114,1,S
2940,32122,32122,0,N
2935,32099,32130,31,E
2933,32092,32130,38,W
2938,32115,32132,17,E
2936,32105,32132,27,W
2941,32131,32134,3,E
2939,32118,32134,16,W
2942,32131,32136,5,W
2944,32144,32144,0,W
2946,32147,32148,1,E
2947,32157,32158,1,W
2948,32163,32164,1,E
2951,32170,32170,0,W
2952,32179,32180,1,E
2953,32183,32184,1,W
2945,32146,32190,44,N
2943,32139,32190,51,S
2950,32170,32192,22,N
2949,32165,32192,27,S
2955,32194,32194,0,N
2954,32191,32194,3,S
2961,32218,32218,0,N
2960,32217,32218,1,S
2956,32195,32236,41,E
2957,32196,32236,40,W
2959,32211,32238,27,E
2958,32209,32238,29,W
2963,32227,32240,13,E
2962,32222,32240,18,W
2964,32235,32242,7,W
2967,32243,32244,1,E
2968,32248,32248,0,W
2969,32259,32260,1,E
2970,32261,32262,1,W
2973,32274,32274,0,W
2974,32275,32276,1,E
2975,32287,32288,1,W
2977,32291,32292,1,E
2965,32242,32296,54,N
2966,32243,32296,53,S
2971,32266,32298,32,N
2972,32269,32298,29,S
2976,32290,32300,10,N
2978,32295,32300,5,S
2982,32314,32314,0,N
2983,32321,32322,1,S
2986,32338,32338,0,N
2980,32307,32340,33,E
2979,32300,32340,40,W
2984,32323,32342,19,E
2981,32313,32342,29,W
2987,32339,32344,5,E
2985,32326,32344,18,W
2988,32339,32346,7,W
2990,32352,32352,0,W
2991,32355,32356,1,E
2993,32365,32366,1,W
2994,32371,32372,1,E
2996,32378,32378,0,W
2998,32387,32388,1,E
2999,32391,32392,1,W
2992,32362,32400,38,N
2989,32347,32400,53,S
2997,32386,32402,16,N
2995,32373,32402,29,S
3000,32399,32404,5,S
3003,32410,32410,0,N
3006,32425,32426,1,S
3008,32438,32438,0,N
3001,32403,32446,43,E
3002,32404,32446,42,W
3005,32422,32448,26,E
3004,32419,32448,29,W
3009,32441,32450,9,E
3007,32434,32450,16,W
3010,32449,32452,3,W
3012,32460,32460,0,E
3013,32464,32464,0,W
3015,32479,32480,1,E
3016,32479,32480,1,W
3019,32494,32494,0,W
3020,32498,32498,0,E
3014,32466,32506,40,N
3011,32456,32506,50,S
3018,32494,32508,14,N
3017,32487,32508,21,S
3023,32518,32518,0,S
3024,32522,32522,0,N
3022,32517,32550,33,E
3021,32509,32550,41,W
3026,32536,32552,16,E
3025,32524,32552,28,W
3027,32539,32554,15,W
3031,32555,32556,1,E
3030,32554,32556,2,W
3032,32569,32570,1,W
3033,32574,32574,0,E
3036,32584,32584,0,W
3037,32593,32594,1,E
3038,32599,32600,1,W
3029,32550,32610,60,N
3028,32549,32610,61,S
3034,32578,32612,34,N
3035,32580,32612,32,S
3039,32606,32614,8,N
3040,32611,32614,3,S
3045,32634,32634,0,N
3046,32642,32642,0,S
3041,32612,32656,44,E
3042,32614,32656,42,W
3044,32631,32658,27,E
3043,32629,32658,29,W
3048,32650,32660,10,E
3047,32644,32660,16,W
3049,32659,32662,3,W
3051,32669,32670,1,E
3053,32674,32674,0,W
3054,32688,32688,0,E
3055,32689,32690,1,W
3058,32704,32704,0,W
3059,32707,32708,1,E
3050,32662,32716,54,N
3052,32673,32716,43,S
3056,32690,32718,28,N
3057,32704,32718,14,S
3060,32718,32720,2,N
3064,32735,32736,1,S
3066,32746,32746,0,N
3062,32726,32760,34,E
3061,32719,32760,41,W
3065,32745,32762,17,E
3063,32734,32762,28,W
3068,32764,32764,0,E
3067,32749,32764,15,W
3069,32764,32766,2,W
3072,32779,32780,1,W
3073,32783,32784,1,E
3074,32794,32794,0,W
3077,32802,32802,0,E
3078,32809,32810,1,W
3071,32774,32820,46,N
3070,32766,32820,54,S
3076,32802,32822,20,N
3075,32797,32822,25,S
3081,32828,32828,0,S
3082,32830,32830,0,N
3086,32858,32858,0,N
3087,32859,32860,1,S
3079,32821,32866,45,E
3080,32824,32866,42,W
3084,32840,32868,28,E
3083,32839,32868,29,W
3088,32859,32870,11,E
3085,32854,32870,16,W
3089,32869,32872,3,W
3090,32878,32878,0,E
3091,32884,32884,0,W
3094,32897,32898,1,E
3095,32899,32900,1,W
3097,32914,32914,0,W
3098,32916,32916,0,E
3092,32886,32926,40,N
3093,32890,32926,36,S
3096,32914,32928,14,N
3099,32921,32928,7,S
3102,32942,32942,0,N
3104,32952,32952,0,S
3101,32935,32970,35,E
3100,32929,32970,41,W
3105,32954,32972,18,E
3103,32944,32972,28,W
3108,32973,32974,1,E
3106,32959,32974,15,W
3109,32974,32976,2,W
3111,32989,32990,1,W
3112,32992,32992,0,E
3114,33004,33004,0,W
3115,33011,33012,1,E
3117,33019,33020,1,W
3107,32970,33030,60,N
3110,32983,33030,47,S
3113,32998,33032,34,N
3116,33014,33032,18,S
3118,33026,33034,8,N
3121,33045,33046,1,S
3124,33054,33054,0,N
3119,33030,33076,46,E
3120,33034,33076,42,W
3122,33049,33078,29,E
3123,33049,33078,29,W
3126,33068,33080,12,E
3125,33064,33080,16,W
3128,33079,33082,3,W
3130,33087,33088,1,E
3131,33094,33094,0,W
3132,33106,33106,0,E
3134,33109,33110,1,W
3136,33124,33124,0,W
3137,33125,33126,1,E
3129,33082,33136,54,N
3127,33076,33136,60,S
3135,33110,33138,28,N
3133,33107,33138,31,S
3139,33138,33140,2,N
3138,33138,33140,2,S
3144,33166,33166,0,N
3145,33169,33170,1,S
3141,33144,33180,36,E
3140,33139,33180,41,W
3143,33163,33182,19,E
3142,33154,33182,28,W
3147,33182,33184,2,E
3146,33169,33184,15,W
3148,33184,33186,2,W
3150,33199,33200,1,W
3152,33201,33202,1,E
3153,33214,33214,0,W
3154,33220,33220,0,E
3156,33229,33230,1,W
3149,33194,33240,46,N
3151,33200,33240,40,S
3155,33222,33242,20,N
3157,33231,33242,11,S
3160,33250,33250,0,N
3163,33262,33262,0,S
3166,33278,33278,0,N
3158,33239,33286,47,E
3159,33244,33286,42,W
3161,33258,33288,30,E
3162,33259,33288,29,W
3165,33277,33290,13,E
3164,33274,33290,16,W
3167,33289,33292,3,W
3169,33296,33296,0,E
3170,33304,33304,0,W
3172,33315,33316,1,E
3173,33319,33320,1,W
3176,33334,33334,0,E
3177,33334,33334,0,W
3171,33306,33346,40,N
3168,33293,33346,53,S
3175,33334,33348,14,N
3174,33324,33348,24,S
3180,33355,33356,1,S
3181,33362,33362,0,N
3185,33386,33386,0,S
3179,33353,33390,37,E
3178,33349,33390,41,W
3183,33372,33392,20,E
3182,33364,33392,28,W
3187,33391,33394,3,E
3184,33379,33394,15,W
3188,33394,33396,2,W
3190,33410,33410,0,E
3189,33409,33410,1,W
3193,33424,33424,0,W
3194,33429,33430,1,E
3195,33439,33440,1,W
3198,33448,33448,0,E
3186,33390,33450,60,N
3191,33417,33450,33,S
3192,33418,33452,34,N
3197,33448,33452,4,S
3196,33446,33454,8,N
3202,33474,33474,0,N
3203,33479,33480,1,S
3200,33467,33496,29,E
3199,33454,33496,42,W
3205,33486,33498,12,E
3201,33469,33498,29,W
3204,33484,33500,16,W
3206,33499,33502,3,W
3208,33505,33506,1,E
3210,33514,33514,0,W
3211,33524,33524,0,E
3212,33529,33530,1,W
3215,33543,33544,1,E
3216,33544,33544,0,W
3207,33502,33556,54,N
3209,33510,33556,46,S
3213,33530,33558,28,N
3214,33541,33558,17,S
3217,33558,33560,2,N
3220,33572,33572,0,S
3223,33586,33586,0,N
3219,33562,33600,38,E
3218,33559,33600,41,W
3222,33581,33602,21,E
3221,33574,33602,28,W
3225,33600,33604,4,E
3224,33589,33604,15,W
3227,33604,33606,2,W
3229,33619,33620,1,E
3230,33619,33620,1,W
3232,33634,33634,0,W
3233,33638,33638,0,E
3235,33649,33650,1,W
3236,33657,33658,1,E
3228,33614,33660,46,N
3226,33603,33660,57,S
3234,33642,33662,20,N
3231,33634,33662,28,S
3238,33665,33666,1,S
3239,33670,33670,0,N
3244,33696,33696,0,S
3245,33698,33698,0,N
3240,33676,33706,30,E
3237,33664,33706,42,W
3243,33695,33708,13,E
3241,33679,33708,29,W
3242,33694,33710,16,W
3246,33709,33712,3,W
3247,33714,33714,0,E
3248,33724,33724,0,W
3251,33733,33734,1,E
3252,33739,33740,1,W
3253,33752,33752,0,E
3255,33754,33754,0,W
3249,33726,33766,40,N
3250,33727,33766,39,S
3254,33754,33768,14,N
3256,33758,33768,10,S
3259,33782,33782,0,N
3261,33789,33790,1,S
3258,33771,33810,39,E
3257,33769,33810,41,W
3262,33790,33812,22,E
3260,33784,33812,28,W
3264,33809,33814,5,E
3263,33799,33814,15,W
3266,33814,33816,2,W
3268,33828,33828,0,E
3269,33829,33830,1,W
3271,33844,33844,0,W
3272,33847,33848,1,E
3274,33859,33860,1,W
3276,33866,33866,0,E
3265,33810,33870,60,N
3267,33820,33870,50,S
3270,33838,33872,34,N
3273,33851,33872,21,S
3275,33866,33874,8,N
3278,33882,33882,0,S
3281,33894,33894,0,N
3284,33913,33914,1,S
3279,33885,33916,31,E
3277,33874,33916,42,W
3282,33904,33918,14,E
3280,33889,33918,29,W
3283,33904,33920,16,W
3285,33919,33922,3,W
3287,33923,33924,1,E
3288,33934,33934,0,W
3289,33942,33942,0,E
3291,33949,33950,1,W
3293,33961,33962,1,E
3294,33964,33964,0,W
3286,33922,33976,54,N
3290,33944,33976,32,S
3292,33950,33978,28,N
3295,33975,33978,3,S
3296,33978,33980,2,N
3302,34006,34006,0,N
3301,34006,34006,0,S
3298,33980,34020,40,E
3297,33979,34020,41,W
3300,33999,34022,23,E
3299,33994,34022,28,W
3304,34018,34024,6,E
3303,34009,34024,15,W
3305,34024,34026,2,W
3308,34037,34038,1,E
3309,34039,34040,1,W
3310,34054,34054,0,W
3311,34056,34056,0,E
3314,34069,34070,1,W
3315,34075,34076,1,E
3306,34034,34080,46,N
3307,34037,34080,43,S
3312,34062,34082,20,N
3313,34068,34082,14,S
3317,34090,34090,0,N
3319,34099,34100,1,S
3323,34118,34118,0,N
3318,34094,34126,32,E
3316,34084,34126,42,W
3321,34113,34128,15,E
3320,34099,34128,29,W
3322,34114,34130,16,W
3326,34132,34132,0,E
3324,34129,34132,3,W
3327,34144,34144,0,W
3329,34151,34152,1,E
3330,34159,34160,1,W
3332,34170,34170,0,E
3334,34174,34174,0,W
3328,34146,34186,40,N
3325,34130,34186,56,S
3333,34174,34188,14,N
3331,34161,34188,27,S
3337,34192,34192,0,S
3338,34202,34202,0,N
3342,34223,34224,1,S
3335,34189,34230,41,E
3336,34189,34230,41,W
3340,34208,34232,24,E
3339,34204,34232,28,W
3343,34227,34234,7,E
3341,34219,34234,15,W
3345,34234,34236,2,W
3346,34246,34246,0,E
3347,34249,34250,1,W
3350,34264,34264,0,W
3351,34265,34266,1,E
3352,34279,34280,1,W
3353,34284,34284,0,E
3344,34230,34290,60,N
3348,34254,34290,36,S
3349,34258,34292,34,N
3354,34285,34292,7,S
3355,34286,34294,8,N
3359,34314,34314,0,N
3360,34316,34316,0,S
3357,34303,34336,33,E
3356,34294,34336,42,W
3361,34322,34338,16,E
3358,34309,34338,29,W
3362,34324,34340,16,W
3364,34341,34342,1,E
3363,34339,34342,3,W
3367,34354,34354,0,W
3368,34360,34360,0,E
3369,34369,34370,1,W
3372,34379,34380,1,E
3373,34384,34384,0,W
3365,34342,34396,54,N
3366,34347,34396,49,S
3370,34370,34398,28,N
3371,34378,34398,20,S
3374,34398,34400,2,N
3377,34409,34410,1,S
3380,34426,34426,0,N
3375,34398,34440,42,E
3376,34399,34440,41,W
3379,34417,34442,25,E
3378,34414,34442,28,W
3382,34436,34444,8,E
3381,34429,34444,15,W
3384,34444,34446,2,W
3386,34455,34456,1,E
3387,34459,34460,1,W
3389,34474,34474,0,E
3390,34474,34474,0,W
3392,34489,34490,1,W
3393,34493,34494,1,E
3385,34454,34500,46,N
3383,34440,34500,60,S
3391,34482,34502,20,N
3388,34471,34502,31,S
3394,34502,34504,2,S
3396,34510,34510,0,N
3400,34533,34534,1,S
3402,34538,34538,0,N
3397,34512,34546,34,E
3395,34504,34546,42,W
3399,34531,34548,17,E
3398,34519,34548,29,W
3404,34550,34550,0,E
3401,34534,34550,16,W
3403,34549,34552,3,W
3406,34564,34564,0,W
3408,34569,34570,1,E
3409,34579,34580,1,W
3410,34588,34588,0,E
3412,34594,34594,0,W
3407,34566,34606,40,N
3405,34564,34606,42,S
3411,34594,34608,14,N
3413,34595,34608,13,S
3416,34622,34622,0,N
3418,34626,34626,0,S
3414,34607,34650,43,E
3415,34609,34650,41,W
3419,34626,34652,26,E
3417,34624,34652,28,W
3421,34645,34654,9,E
3420,34639,34654,15,W
3423,34654,34656,2,W
3425,34664,34664,0,E
3426,34669,34670,1,W
3428,34683,34684,1,E
3429,34684,34684,0,W
3431,34699,34700,1,W
3432,34702,34702,0,E
3422,34650,34710,60,N
3424,34657,34710,53,S
3427,34678,34712,34,N
3430,34688,34712,24,S
3433,34706,34714,8,N
3435,34719,34720,1,S
3438,34734,34734,0,N
3441,34750,34750,0,S
3436,34721,34756,35,E
3434,34714,34756,42,W
3439,34740,34758,18,E
3437,34729,34758,29,W
3442,34759,34760,1,E
3440,34744,34760,16,W
3443,34759,34762,3,W
3445,34774,34774,0,W
3446,34778,34778,0,E
3448,34789,34790,1,W
3450,34797,34798,1,E
3451,34804,34804,0,W
3444,34762,34816,54,N
3447,34781,34816,35,S
3449,34790,34818,28,N
3452,34812,34818,6,S
3454,34818,34820,2,N
3458,34843,34844,1,S
3459,34846,34846,0,N
3453,34816,34860,44,E
3455,34819,34860,41,W
3457,34835,34862,27,E
3456,34834,34862,28,W
3461,34854,34864,10,E
3460,34849,34864,15,W
3462,34864,34866,2,W
3463,34873,34874,1,E
3466,34879,34880,1,W
3467,34892,34892,0,E
3468,34894,34894,0,W
3471,34909,34910,1,W
3472,34911,34912,1,E
3465,34874,34920,46,N
3464,34874,34920,46,S
3469,34902,34922,20,N
3470,34905,34922,17,S
3474,34930,34930,0,N
3476,34936,34936,0,S
3480,34958,34958,0,N
3475,34930,34966,36,E
3473,34924,34966,42,W
3478,34949,34968,19,E
3477,34939,34968,29,W
3482,34968,34970,2,E
3479,34954,34970,16,W
3483,34969,34972,3,W
3484,34984,34984,0,W
3486,34987,34988,1,E
3488,34999,35000,1,W
3489,35006,35006,0,E
3491,35014,35014,0,W
3485,34986,35026,40,N
3481,34967,35026,59,S
3490,35014,35028,14,N
3487,34998,35028,30,S
3493,35029,35030,1,S
3495,35042,35042,0,N
3499,35060,35060,0,S
3492,35025,35070,45,E
3494,35029,35070,41,W
3496,35044,35072,28,E
3497,35044,35072,28,W
3500,35063,35074,11,E
3498,35059,35074,15,W
3502,35074,35076,2,W
3503,35082,35082,0,E
3504,35089,35090,1,W
3507,35101,35102,1,E
3508,35104,35104,0,W
3510,35120,35120,0,E
3509,35119,35120,1,W
3501,35070,35130,60,N
3505,35091,35130,39,S
3506,35098,35132,34,N
3511,35122,35132,10,S
3512,35126,35134,8,N
3517,35154,35154,0,N
3516,35153,35154,1,S
3514,35139,35176,37,E
3513,35134,35176,42,W
3518,35158,35178,20,E
3515,35149,35178,29,W
3520,35177,35180,3,E
3519,35164,35180,16,W
3521,35179,35182,3,W
3524,35194,35194,0,W
3525,35196,35196,0,E
3526,35209,35210,1,W
3529,35215,35216,1,E
3530,35224,35224,0,W
3531,35234,35234,0,E
3522,35182,35236,54,N
3523,35184,35236,52,S
3527,35210,35238,28,N
3528,35215,35238,23,S
3532,35238,35240,2,N
3534,35246,35246,0,S
3537,35266,35266,0,N
3540,35277,35278,1,S
3535,35253,35280,27,E
3533,35239,35280,41,W
3539,35272,35282,10,E
3536,35254,35282,28,W
3538,35269,35284,15,W
3541,35284,35286,2,W
3542,35291,35292,1,E
3544,35299,35300,1,W
3546,35310,35310,0,E
3547,35314,35314,0,W
3549,35329,35330,1,E
3550,35329,35330,1,W
3543,35294,35340,46,N
3545,35308,35340,32,S
3548,35322,35342,20,N
3551,35339,35342,3,S
3554,35350,35350,0,N
3557,35370,35370,0,S
3559,35378,35378,0,N
3553,35348,35386,38,E
3552,35344,35386,42,W
3556,35367,35388,21,E
3555,35359,35388,29,W
3560,35386,35390,4,E
3558,35374,35390,16,W
3561,35389,35392,3,W
3563,35404,35404,0,W
3564,35405,35406,1,E
3566,35419,35420,1,W
3567,35424,35424,0,E
3570,35434,35434,0,W
3571,35443,35444,1,E
3565,35406,35446,40,N
3562,35401,35446,45,S
3569,35434,35448,14,N
3568,35432,35448,16,S
3573,35462,35462,0,N
3575,35463,35464,1,S
3574,35462,35490,28,E
3572,35449,35490,41,W
3578,35481,35492,11,E
3576,35464,35492,28,W
3577,35479,35494,15,W
3581,35494,35496,2,W
3582,35500,35500,0,E
3583,35509,35510,1,W
3585,35519,35520,1,E
3586,35524,35524,0,W
3588,35538,35538,0,E
3589,35539,35540,1,W
3579,35490,35550,60,N
3580,35494,35550,56,S
3584,35518,35552,34,N
3587,35525,35552,27,S
3590,35546,35554,8,N
3592,35556,35556,0,S
3595,35574,35574,0,N
3598,35587,35588,1,S
3593,35557,35596,39,E
3591,35554,35596,42,W
3596,35576,35598,22,E
3594,35569,35598,29,W
3599,35595,35600,5,E
3597,35584,35600,16,W
3600,35599,35602,3,W
3602,35614,35614,0,E
3603,35614,35614,0,W
3605,35629,35630,1,W
3607,35633,35634,1,E
3608,35644,35644,0,W
3610,35652,35652,0,E
3601,35602,35656,54,N
3604,35618,35656,38,S
3606,35630,35658,28,N
3609,35649,35658,9,S
3611,35658,35660,2,N
3615,35680,35680,0,S
3616,35686,35686,0,N
3613,35671,35700,29,E
3612,35659,35700,41,W
3618,35690,35702,12,E
3614,35674,35702,28,W
3617,35689,35704,15,W
3619,35704,35706,2,W
3620,35709,35710,1,E
3623,35719,35720,1,W
3624,35728,35728,0,E
3625,35734,35734,0,W
3628,35747,35748,1,E
3629,35749,35750,1,W
3622,35714,35760,46,N
3621,35711,35760,49,S
3627,35742,35762,20,N
3626,35742,35762,20,S
3632,35770,35770,0,N
3633,35773,35774,1,S
3637,35798,35798,0,N
3638,35804,35804,0,S
3631,35766,35806,40,E
3630,35764,35806,42,W
3635,35785,35808,23,E
3634,35779,35808,29,W
3639,35804,35810,6,E
3636,35794,35810,16,W
3640,35809,35812,3,W
3641,35823,35824,1,E
3642,35824,35824,0,W
3645,35839,35840,1,W
3646,35842,35842,0,E
3648,35854,35854,0,W
3649,35861,35862,1,E
3643,35826,35866,40,N
3644,35835,35866,31,S
3647,35854,35868,14,N
3650,35866,35868,2,S
3653,35882,35882,0,N
3655,35897,35898,1,S
3652,35880,35910,30,E
3651,35869,35910,41,W
3656,35899,35912,13,E
3654,35884,35912,28,W
3657,35899,35914,15,W
3659,35914,35916,2,W
3660,35918,35918,0,E
3662,35929,35930,1,W
3663,35937,35938,1,E
3665,35944,35944,0,W
3666,35956,35956,0,E
3668,35959,35960,1,W
3658,35910,35970,60,N
3661,35928,35970,42,S
3664,35938,35972,34,N
3667,35959,35972,13,S
3669,35966,35974,8,N
3673,35990,35990,0,S
3674,35994,35994,0,N
3671,35975,36016,41,E
3670,35974,36016,42,W
3675,35994,36018,24,E
3672,35989,36018,29,W
3677,36013,36020,7,E
3676,36004,36020,16,W
3678,36020,36022,2,W
3681,36032,36032,0,E
3682,36036,36036,0,W
3684,36051,36052,1,E
3685,36052,36052,0,W
3687,36068,36068,0,W
3688,36070,36070,0,E
3680,36022,36076,54,N
3679,36021,36076,55,S
3683,36051,36078,27,N
3686,36053,36078,25,S
3689,36080,36080,0,N
3691,36085,36086,1,S
3695,36109,36110,1,N
3697,36117,36118,1,S
3692,36089,36120,31,E
3690,36084,36120,36,W
3694,36108,36122,14,E
3693,36100,36122,22,W
3696,36116,36124,8,W
3698,36127,36128,1,E
3699,36132,36132,0,W
3701,36146,36146,0,E
3702,36148,36148,0,W
3704,36164,36164,0,W
3705,36165,36166,1,E
3700,36138,36180,42,N
3703,36149,36180,31,S
3706,36167,36182,15,N
3708,36181,36182,1,S
3710,36196,36196,0,N
3714,36213,36214,1,S
3709,36184,36226,42,E
3707,36180,36226,46,W
3712,36203,36228,25,E
3711,36196,36228,32,W
3715,36222,36230,8,E
3713,36212,36230,18,W
3717,36228,36232,4,W
3718,36241,36242,1,E
3719,36244,36244,0,W
3722,36260,36260,0,E
3723,36260,36260,0,W
3724,36276,36276,0,W
3726,36279,36280,1,E
3716,36225,36286,61,N
3720,36245,36286,41,S
3721,36254,36288,34,N
3725,36277,36288,11,S
3727,36283,36290,7,N
3731,36309,36310,1,S
3732,36312,36312,0,N
3729,36298,36330,32,E
3728,36292,36330,38,W
3733,36317,36332,15,E
3730,36308,36332,24,W
3734,36324,36334,10,W
3735,36336,36336,0,E
3736,36340,36340,0,W
3739,36355,36356,1,E
3740,36356,36356,0,W
3742,36372,36372,0,W
3744,36374,36374,0,E
3745,36388,36388,0,W
3738,36341,36390,49,N
3737,36341,36390,49,S
3741,36370,36392,22,N
3743,36373,36392,19,S
3747,36399,36400,1,N
3749,36405,36406,1,S
3752,36428,36428,0,N
3746,36393,36436,43,E
3748,36404,36436,32,W
3750,36412,36438,26,E
3751,36420,36438,18,W
3753,36431,36440,9,E
3754,36436,36440,4,W
3756,36450,36450,0,E
3757,36452,36452,0,W
3759,36468,36468,0,W
3761,36469,36470,1,E
3762,36484,36484,0,W
3764,36488,36488,0,E
3758,36457,36496,39,N
3755,36437,36496,59,S
3763,36486,36498,12,N
3760,36469,36498,29,S
3766,36501,36502,1,S
3768,36515,36516,1,N
3772,36533,36534,1,S
3767,36507,36540,33,E
3765,36500,36540,40,W
3770,36526,36542,16,E
3769,36516,36542,26,W
3771,36532,36544,12,W
3774,36545,36546,1,E
3775,36548,36548,0,W
3776,36564,36564,0,E
3777,36564,36564,0,W
3780,36580,36580,0,W
3781,36583,36584,1,E
3782,36596,36596,0,W
3773,36544,36600,56,N
3778,36565,36600,35,S
3779,36573,36602,29,N
3783,36597,36602,5,S
3784,36602,36604,2,N
3789,36629,36630,1,S
3790,36631,36632,1,N
3785,36602,36646,44,E
3786,36612,36646,34,W
3787,36621,36648,27,E
3788,36628,36648,20,W
3791,36640,36650,10,E
3792,36644,36650,6,W
3793,36659,36660,1,E
3795,36660,36660,0,W
3797,36676,36676,0,W
3798,36678,36678,0,E
3800,36692,36692,0,W
3802,36697,36698,1,E
3794,36660,36706,46,N
3796,36661,36706,45,S
3799,36689,36708,19,N
3801,36693,36708,15,S
3805,36718,36718,0,N
3807,36725,36726,1,S
3810,36747,36748,1,N
3804,36716,36750,34,E
3803,36708,36750,42,W
3808,36735,36752,17,E
3806,36724,36752,28,W
3811,36754,36754,0,E
3809,36740,36754,14,W
3812,36756,36756,0,W
3814,36772,36772,0,W
3815,36773,36774,1,E
3817,36788,36788,0,W
3819,36792,36792,0,E
3820,36804,36804,0,W
3816,36776,36810,34,N
3813,36757,36810,53,S
3821,36805,36812,7,N
3818,36789,36812,23,S
3824,36821,36822,1,S
3826,36834,36834,0,N
3830,36853,36854,1,S
3822,36811,36856,45,E
3823,36820,36856,36,W
3825,36830,36858,28,E
3827,36836,36858,22,W
3828,36849,36860,11,E
